Product,Reseller,Year,Quarter,Month,Sum of Order Quantity,Sum of Product Standard Cost,Sum of Sales Amount
All-Purpose Bike Stand,[Not Applicable],2019,Qtr 2,May,1,59.466,159
All-Purpose Bike Stand,[Not Applicable],2019,Qtr 2,June,3,178.398,477
All-Purpose Bike Stand,[Not Applicable],2019,Qtr 3,July,21,1248.7859999999996,3339
All-Purpose Bike Stand,[Not Applicable],2019,Qtr 3,August,19,1129.8539999999998,3021
All-Purpose Bike Stand,[Not Applicable],2019,Qtr 3,September,27,1605.581999999999,4293
All-Purpose Bike Stand,[Not Applicable],2019,Qtr 4,October,23,1367.7179999999994,3657
All-Purpose Bike Stand,[Not Applicable],2019,Qtr 4,November,25,1486.6499999999992,3975
All-Purpose Bike Stand,[Not Applicable],2019,Qtr 4,December,16,951.456,2544
All-Purpose Bike Stand,[Not Applicable],2020,Qtr 1,January,19,1129.8539999999998,3021
All-Purpose Bike Stand,[Not Applicable],2020,Qtr 1,February,17,1010.922,2703
All-Purpose Bike Stand,[Not Applicable],2020,Qtr 1,March,31,1843.4459999999985,4929
All-Purpose Bike Stand,[Not Applicable],2020,Qtr 2,April,23,1367.7179999999994,3657
All-Purpose Bike Stand,[Not Applicable],2020,Qtr 2,May,13,773.058,2067
All-Purpose Bike Stand,[Not Applicable],2020,Qtr 2,June,11,654.126,1749
AWC Logo Cap,[Not Applicable],2019,Qtr 2,June,52,359.95960000000025,467.4800000000003
AWC Logo Cap,[Not Applicable],2019,Qtr 3,July,165,1142.1794999999959,1483.3500000000013
AWC Logo Cap,[Not Applicable],2019,Qtr 3,August,157,1086.8010999999963,1411.4300000000012
AWC Logo Cap,[Not Applicable],2019,Qtr 3,September,149,1031.4226999999967,1339.5100000000011
AWC Logo Cap,[Not Applicable],2019,Qtr 4,October,158,1093.7233999999962,1420.4200000000012
AWC Logo Cap,[Not Applicable],2019,Qtr 4,November,204,1412.149199999994,1833.9600000000016
AWC Logo Cap,[Not Applicable],2019,Qtr 4,December,178,1232.1693999999952,1600.2200000000014
AWC Logo Cap,[Not Applicable],2020,Qtr 1,January,219,1515.9836999999932,1968.8100000000018
AWC Logo Cap,[Not Applicable],2020,Qtr 1,February,185,1280.6254999999949,1663.1500000000015
AWC Logo Cap,[Not Applicable],2020,Qtr 1,March,199,1377.5376999999942,1789.0100000000016
AWC Logo Cap,[Not Applicable],2020,Qtr 2,April,193,1336.0038999999945,1735.0700000000015
AWC Logo Cap,[Not Applicable],2020,Qtr 2,May,238,1647.5073999999922,2139.6199999999994
AWC Logo Cap,[Not Applicable],2020,Qtr 2,June,93,643.7738999999995,836.0700000000006
AWC Logo Cap,A Great Bicycle Company,2017,Qtr 3,September,3,5.7052,15.5595
AWC Logo Cap,A Typical Bike Shop,2017,Qtr 3,September,4,5.7052,20.746
AWC Logo Cap,A Typical Bike Shop,2017,Qtr 4,November,1,5.7052,5.1865
AWC Logo Cap,A Typical Bike Shop,2018,Qtr 1,February,1,5.7052,5.1865
AWC Logo Cap,A Typical Bike Shop,2018,Qtr 2,June,3,5.7052,15.5595
AWC Logo Cap,Action Bicycle Specialists,2019,Qtr 3,September,19,6.9223,89.2482
AWC Logo Cap,Action Bicycle Specialists,2019,Qtr 4,December,8,6.9223,43.152
AWC Logo Cap,Action Bicycle Specialists,2020,Qtr 1,March,7,6.9223,37.758
AWC Logo Cap,Action Bicycle Specialists,2020,Qtr 2,June,10,6.9223,53.94
AWC Logo Cap,Active Life Toys,2018,Qtr 3,September,6,5.2297,31.119
AWC Logo Cap,Active Life Toys,2018,Qtr 4,December,3,5.2297,15.5595
AWC Logo Cap,Active Life Toys,2019,Qtr 1,March,5,5.2297,25.9325
AWC Logo Cap,Active Life Toys,2019,Qtr 2,June,3,5.2297,15.5595
AWC Logo Cap,Active Systems,2019,Qtr 2,April,3,5.2297,15.5595
AWC Logo Cap,Activity Center,2018,Qtr 3,July,4,5.2297,20.746
AWC Logo Cap,Activity Center,2018,Qtr 4,October,1,5.2297,5.1865
AWC Logo Cap,Activity Center,2019,Qtr 2,April,4,5.2297,20.746
AWC Logo Cap,Advanced Bike Components,2017,Qtr 3,September,4,5.7052,20.746
AWC Logo Cap,Advanced Bike Components,2017,Qtr 4,November,4,5.7052,20.746
AWC Logo Cap,Advanced Bike Components,2018,Qtr 1,February,5,5.7052,25.9325
AWC Logo Cap,Advanced Bike Components,2018,Qtr 2,June,6,5.7052,31.119
AWC Logo Cap,Advanced Bike Components,2018,Qtr 3,September,4,5.2297,20.746
AWC Logo Cap,Advanced Bike Components,2018,Qtr 4,December,14,5.2297,68.7866
AWC Logo Cap,Advanced Bike Components,2019,Qtr 1,March,10,5.2297,51.865
AWC Logo Cap,Advanced Bike Components,2019,Qtr 2,June,2,5.2297,10.373
AWC Logo Cap,Advanced Bike Components,2019,Qtr 3,September,18,6.9223,84.551
AWC Logo Cap,Advanced Bike Components,2019,Qtr 4,December,4,6.9223,21.576
AWC Logo Cap,Advanced Bike Components,2020,Qtr 1,March,3,6.9223,16.182
AWC Logo Cap,Advanced Bike Components,2020,Qtr 2,June,12,6.9223,61.319
AWC Logo Cap,Affordable Sports Equipment,2018,Qtr 1,February,3,5.7052,15.5595
AWC Logo Cap,Affordable Sports Equipment,2018,Qtr 3,August,5,5.2297,25.9325
AWC Logo Cap,Affordable Sports Equipment,2018,Qtr 4,November,6,5.2297,31.119
AWC Logo Cap,Affordable Sports Equipment,2019,Qtr 1,February,3,5.2297,15.5595
AWC Logo Cap,Affordable Sports Equipment,2019,Qtr 2,May,2,5.2297,10.373
AWC Logo Cap,All Cycle Shop,2018,Qtr 3,July,3,5.2297,15.5595
AWC Logo Cap,Alternative Vehicles,2017,Qtr 4,November,2,5.7052,10.373
AWC Logo Cap,Amalgamated Parts Shop,2019,Qtr 3,July,14,6.9223,71.5388
AWC Logo Cap,Amalgamated Parts Shop,2019,Qtr 4,October,8,6.9223,43.152
AWC Logo Cap,Amalgamated Parts Shop,2020,Qtr 1,January,9,6.9223,48.546
AWC Logo Cap,Amalgamated Parts Shop,2020,Qtr 2,April,16,6.9223,75.1564
AWC Logo Cap,Another Bicycle Company,2019,Qtr 3,September,6,6.9223,32.364
AWC Logo Cap,Another Bicycle Company,2019,Qtr 4,December,2,6.9223,10.788
AWC Logo Cap,Another Bicycle Company,2020,Qtr 1,March,3,6.9223,16.182
AWC Logo Cap,Another Bicycle Company,2020,Qtr 2,June,3,6.9223,16.182
AWC Logo Cap,Area Bike Accessories,2017,Qtr 3,July,3,5.7052,15.5595
AWC Logo Cap,Area Bike Accessories,2018,Qtr 2,April,2,5.7052,10.373
AWC Logo Cap,Area Bike Accessories,2019,Qtr 3,July,5,6.9223,26.97
AWC Logo Cap,Area Bike Accessories,2019,Qtr 4,October,6,6.9223,32.364
AWC Logo Cap,Area Bike Accessories,2020,Qtr 1,January,5,6.9223,26.97
AWC Logo Cap,Area Bike Accessories,2020,Qtr 2,April,5,6.9223,26.97
AWC Logo Cap,Area Sheet Metal Supply,2020,Qtr 2,May,4,6.9223,21.576
AWC Logo Cap,Basic Sports Equipment,2017,Qtr 4,November,2,5.7052,10.373
AWC Logo Cap,Basic Sports Equipment,2018,Qtr 2,May,2,5.7052,10.373
AWC Logo Cap,Basic Sports Equipment,2018,Qtr 3,August,4,5.2297,20.746
AWC Logo Cap,Basic Sports Equipment,2019,Qtr 3,August,3,6.9223,16.182
AWC Logo Cap,Best Cycle Store,2019,Qtr 3,July,19,6.9223,89.2482
AWC Logo Cap,Best Cycle Store,2019,Qtr 4,October,12,6.9223,61.319
AWC Logo Cap,Best Cycle Store,2020,Qtr 1,January,12,6.9223,61.319
AWC Logo Cap,Best Cycle Store,2020,Qtr 2,April,10,6.9223,53.94
